gender,date,racer_id,anon_category,anon_age,anon_time,anon_place,z_fast,z_score,iforest_fast,iforest_raw,fast_outliers
Female,2024-10-06,c19fe3123a,Training,4.0,520.3052744701397,1.0,False,-1.4646963712032057,True,-1.0,1
Male,2023-11-05,234a6bdd8e,Local,44.0,521.6929387294708,4.0,False,-1.2685137299486116,True,-1.0,1
Male,2023-11-19,234a6bdd8e,Local,42.0,786.7937341678153,4.0,False,-0.37043512693300684,True,-1.0,1
Male,2024-10-06,4d28916564,Local,7.0,417.31564162072476,3.0,False,-1.6221113757760026,True,-1.0,1
Male,2024-10-06,fbcb97f2fb,Local,5.0,421.98733089140705,2.0,False,-1.606285153274482,True,-1.0,1
Male,2024-11-03,4d28916564,Local,10.0,449.0812340053239,1.0,False,-1.514499481267905,True,-1.0,1
Male,2023-09-23,a8d8f85c9f,Customer,5.0,586.8115773874986,9.0,False,-0.5404791631128165,True,-1.0,1
Male,2024-10-06,f72ade4837,Customer,13.0,373.4756641529624,3.0,False,-1.5968503872550663,True,-1.0,1
Male,2024-10-20,46b9d6cc43,Customer,56.0,673.1699983500588,10.0,False,-0.11285987724546578,True,-1.0,1
Male,2024-11-03,4577eaceb5,Customer,5.0,391.34519639655304,4.0,False,-1.5083661777058823,True,-1.0,1
Female,2024-09-21,9ab99eaf0a,Example,21.0,450.07596251891414,1.0,False,-1.806424521495443,True,-1.0,1
Female,2024-09-21,5fd5b27a89,Example,18.0,458.31520172667865,4.0,False,-1.7427512625622088,True,-1.0,1
Female,2024-09-21,5c913b2983,Example,15.0,505.22508491843956,4.0,False,-1.3802293034738058,True,-1.0,1
Female,2024-10-20,547cdaa15e,Example,63.0,637.5157893197767,28.0,False,-0.35788002298826455,True,-1.0,1
Female,2024-11-17,6fba353a32,Example,3.0,634.6052533949511,16.0,False,-0.3803727923936308,True,-1.0,1
Male,2023-09-23,726aeb97db,Article,46.0,415.6077608323042,1.0,False,-1.7463981073864487,True,-1.0,1
Male,2023-09-23,2e8bfe4968,Article,51.0,447.4143723953768,6.0,False,-1.4363813040836295,True,-1.0,1
Male,2023-09-23,941bf7e0b5,Article,17.0,466.1257870231942,19.0,False,-1.2540024632351958,True,-1.0,1
Male,2023-09-23,50293aa23f,Article,17.0,444.24357059039386,41.0,False,-1.467286886010781,True,-1.0,1
Male,2023-10-22,0bf0c83968,Article,67.0,578.0210501606382,43.0,False,-0.16336721232803836,True,-1.0,1
Male,2024-09-21,f28b0c76f1,Article,34.0,391.2719172012703,1.0,False,-1.9835978616956937,True,-1.0,1
Male,2024-09-21,0d43f3bffd,Article,23.0,390.1973425060253,1.0,False,-1.9940716655861004,True,-1.0,1
Male,2024-09-21,7f9d53a4f5,Article,15.0,405.07426511717864,5.0,False,-1.8490673484255817,True,-1.0,1
Male,2024-09-21,737b232876,Article,49.0,412.19241557352933,5.0,False,-1.779687237138645,True,-1.0,1
Male,2024-09-21,dbe76f4c66,Article,52.0,444.50860794869067,12.0,False,-1.4647035855415667,True,-1.0,1
Male,2024-09-21,54867fb94f,Article,58.0,469.2740807879861,28.0,False,-1.2233162655909253,True,-1.0,1
Male,2024-09-21,bd7dec2a68,Article,61.0,475.76270501817885,29.0,False,-1.1600721021034508,True,-1.0,1
Male,2024-09-21,83a0067677,Article,68.0,485.0597936113805,35.0,False,-1.0694540342224392,True,-1.0,1
Male,2024-09-21,8a77b30179,Article,65.0,487.72338152134773,35.0,False,-1.0434922304154979,True,-1.0,1
Male,2024-10-20,83a0067677,Article,67.0,524.3622074310618,44.0,False,-0.6863761741272056,True,-1.0,1
Male,2023-09-23,4a56e40d50,Film,61.0,414.70427420689566,5.0,False,-1.3984881464434533,True,-1.0,1
Male,2023-09-23,9adc291af8,Film,47.0,426.7085089223836,10.0,False,-1.239962193656874,True,-1.0,1
Male,2023-10-22,06d0cf2ee7,Understand,57.0,508.5933145498904,5.0,False,-0.5620652076131876,True,-1.0,1
Male,2023-11-05,9ce4fb35d7,Understand,72.0,534.7187506911795,2.0,False,-0.23739029451015436,True,-1.0,1
Female,2023-09-23,21a18387df,Every,57.0,444.822295205525,5.0,False,-0.23986922096164975,True,-1.0,1
Female,2024-09-21,b171873de1,Every,54.0,412.3670302054132,9.0,False,-0.644995584070247,True,-1.0,1
Female,2024-09-21,71d4380781,Past,40.0,419.92006403735616,2.0,False,-1.368218407908781,True,-1.0,1
Male,2023-10-08,0afb4275d1,Every,11.0,394.25325601915085,10.0,False,-0.87110273365678,True,-1.0,1
Male,2024-09-08,06e954a325,Every,20.0,301.4843532796928,10.0,False,-2.0291006170905574,True,-1.0,1
Male,2024-09-21,11e1f0d2df,Every,0.0,331.83112776078445,6.0,False,-1.6502937154196238,True,-1.0,1
Male,2024-09-21,97416bff22,Every,55.0,346.8597511540802,10.0,False,-1.4626972949980461,True,-1.0,1
Male,2023-10-08,a66347c007,Meet,37.0,410.6173625346491,4.0,False,-0.6760982491595648,True,-1.0,1
Male,2023-10-22,17b86ace57,Meet,59.0,438.3434751616719,1.0,False,-0.26795886884094033,True,-1.0,1
Male,2024-09-21,b816bcb79a,Meet,38.0,365.6896883635471,10.0,False,-1.3374514414379164,True,-1.0,1
Male,2023-09-23,a06ff4180d,Maintain,48.0,409.0197021509647,8.0,False,-0.9331308091806657,True,-1.0,1
Male,2023-10-08,281230e614,Maintain,48.0,447.21614157517513,10.0,False,-0.3747360932891725,True,-1.0,1
Male,2024-09-21,cf4248cfde,Maintain,58.0,353.827800923294,1.0,False,-1.739982611864722,True,-1.0,1
Male,2024-09-21,eefbbd795e,Maintain,65.0,367.5290601446937,4.0,False,-1.5396835560988102,True,-1.0,1
Male,2024-11-17,eefbbd795e,Maintain,65.0,445.7547422723867,6.0,False,-0.39610032673045337,True,-1.0,1
Female,2024-09-21,b770285de5,Score,18.0,408.6246700119732,1.0,False,-1.9842300456788458,True,-1.0,1
Female,2024-09-21,38e31e3d3b,Score,16.0,417.5651137528866,1.0,False,-1.8627342065718961,True,-1.0,1
Female,2024-09-21,a886957c78,Score,13.0,424.8375710295514,1.0,False,-1.7639054096124782,True,-1.0,1
Female,2024-09-21,56443d0036,Score,34.0,425.44307574774206,2.0,False,-1.7556769249922868,True,-1.0,1
Female,2024-11-03,2832d86d60,Score,58.0,488.8437171465794,4.0,False,-0.8940961858372097,True,-1.0,1
Male,2023-09-23,bfaf9848d0,His,44.0,394.54299801661216,5.0,False,-1.0420733861372302,True,-1.0,1
Male,2023-09-23,0252f4a473,His,11.0,404.70600912788115,9.0,False,-0.9209564547808627,True,-1.0,1
Male,2023-10-08,0252f4a473,His,12.0,428.0774599823121,6.0,False,-0.6424289221585564,True,-1.0,1
Male,2024-09-08,5deeaa093f,His,33.0,300.3722648736966,7.0,False,-2.164346115840579,True,-1.0,1
Male,2024-09-21,36f37d69cc,His,16.0,372.15023422794036,2.0,False,-1.308937488220581,True,-1.0,1
Male,2024-09-21,bfaf9848d0,His,42.0,373.38627442397365,4.0,False,-1.294207070833683,True,-1.0,1
Male,2024-09-21,fa8cda26c8,His,11.0,388.5252881106058,13.0,False,-1.1137889977437296,True,-1.0,1
Male,2024-09-21,f08ce0bc6b,His,12.0,390.3965487512268,17.0,False,-1.091488387808485,True,-1.0,1
Male,2024-09-21,8131d08a6a,His,11.0,410.54104151139177,22.0,False,-0.8514178890036189,True,-1.0,1
Male,2024-10-20,31e75baa26,His,45.0,429.95526842579915,23.0,False,-0.6200502792681594,True,-1.0,1
Male,2024-10-20,d661ae1c02,His,11.0,419.24436880135437,,False,-0.747696631355719,True,-1.0,1
Male,2024-11-03,f95504e339,His,45.0,440.2431140898954,19.0,False,-0.4974456413846466,True,-1.0,1
Male,2023-09-23,75a301de04,Property,56.0,409.0349634689222,7.0,False,-1.1206843380068148,True,-1.0,1
Male,2023-09-23,fe4508b914,Property,38.0,412.4145192429391,11.0,False,-1.0834993684399423,True,-1.0,1
